stop_id;stop_name;stop_desc;zone_id;type
par_4_64;AVENIDA DE AMERICA;Avda de América 9 A;A;Metro
par_4_65;PROSPERIDAD;Plaza de la Prosperidad 4;A;Metro
par_4_66;ALFONSO XIII;Calle de López de Hoyos 190;A;Metro
par_4_67;AVENIDA DE LA PAZ;Avda de Ramón y Cajal 107;A;Metro
par_4_68;ARTURO SORIA;Calle de Arturo Soria 172;A;Metro
par_4_69;ESPERANZA;Calle de Andorra 51;A;Metro
par_4_70;CANILLAS;Avda de Machupichu 64;A;Metro
par_4_71;MAR DE CRISTAL;Gta del Mar de Cristal 1 B;A;Metro
par_4_72;SAN LORENZO;Avda de la Barranquilla 9;A;Metro
par_4_73;PARQUE DE SANTA MARIA;Calle de Santa Virgilia 1;A;Metro
est_90_4;Intercambiador de Avenida de América;Avda de América 9 A;A;Metro
est_4_264;HORTALEZA;Calle del Capitán Cortés 4;A;Metro
est_4_265;MANOTERAS;Calle de Bacares 24;A;Metro
est_4_57;ALONSO MARTINEZ;Plaza de Alonso Martínez 4;A;Metro
est_4_58;COLON;Plaza de Colón 2;A;Metro
est_4_59;SERRANO;Calle de Goya 19;A;Metro
est_4_60;VELAZQUEZ;Calle de Núñez de Balboa 33;A;Metro
est_4_62;LISTA;Calle del Conde de Peñalver 45;A;Metro
est_4_63;DIEGO DE LEON;Calle de Diego de León 69;A;Metro
est_4_65;PROSPERIDAD;Plaza de la Prosperidad 4;A;Metro
est_4_66;ALFONSO XIII;Calle de López de Hoyos 190;A;Metro
est_4_67;AVENIDA DE LA PAZ;Avda de Ramón y Cajal 107;A;Metro
est_4_68;ARTURO SORIA;Calle de Arturo Soria 172;A;Metro
est_4_69;ESPERANZA;Calle de Andorra 51;A;Metro
est_4_70;CANILLAS;Avda de Machupichu 64;A;Metro
est_4_71;MAR DE CRISTAL;Gta del Mar de Cristal 1 B;A;Metro
est_4_72;SAN LORENZO;Avda de la Barranquilla 9;A;Metro
est_4_73;PARQUE DE SANTA MARIA;Calle de Santa Virgilia 1;A;Metro
par_4_100;ALUCHE;Calle de Valmojado 293;A;Metro
par_4_101;EMPALME;Calle de Tembleque 105;A;Metro
par_4_102;CAMPAMENTO;Avda del Padre Piquer 7;A;Metro
par_4_103;CASA DE CAMPO;Ctra del Zoo 1;A;Metro
par_4_252;ALAMEDA DE OSUNA;Calle de la Corbeta 14;A;Metro
par_4_253;EL CAPRICHO;Calle de Pinos de Osuna 15;A;Metro
par_4_74;CANILLEJAS;Calle de Alcalá 631;A;Metro
par_4_75;TORRE ARIAS;Calle de Alcalá 557;A;Metro
par_4_76;SUANZES;Calle de Alcalá 527;A;Metro
par_4_77;CIUDAD LINEAL;Calle de Arturo Soria 2;A;Metro
par_4_78;PUEBLO NUEVO;Calle de Alcalá 372;A;Metro
par_4_79;QUINTANA;Calle de la Virgen del Sagrario 2;A;Metro
par_4_80;EL CARMEN;Calle de Raquel Méller 2;A;Metro
par_4_81;VENTAS;Calle de Alcalá 204;A;Metro
par_4_82;DIEGO DE LEON;Calle de Juan Bravo 58;A;Metro
par_4_83;NUÑEZ DE BALBOA;Calle de Juan Bravo 20;A;Metro
par_4_84;RUBEN DARIO;Paseo de Eduardo Dato 33;A;Metro
par_4_85;ALONSO MARTINEZ;Calle de Almagro 4;A;Metro
par_4_86;CHUECA;Plaza de Chueca 7;A;Metro
par_4_87;GRAN VIA;Calle   Gran Vía 23;A;Metro
par_4_88;CALLAO;Plaza del Callao 3;A;Metro
par_4_89;OPERA;Plaza de Isabel II 9;A;Metro
par_4_90;LA LATINA;Calle de San Millán 5;A;Metro
par_4_91;PUERTA DE TOLEDO;Gta de Puerta de Toledo 1;A;Metro
par_4_92;ACACIAS;Paseo de las Acacias 20;A;Metro
par_4_93;PIRAMIDES;Paseo del Doctor Vallejo Nágera 37;A;Metro
par_4_94;MARQUES DE VADILLO;Gta del Marqués de Vadillo 4;A;Metro
par_4_95;URGEL;Calle del Camino Viejo de Leganés 1;A;Metro
par_4_96;OPORTO;Gta del Valle de Oro 13;A;Metro
par_4_97;VISTA ALEGRE;Calle de la Oca 74;A;Metro
par_4_98;CARABANCHEL;Gta del Ejército 1;A;Metro
par_4_99;EUGENIA DE MONTIJO;Calle de Ocaña 86;A;Metro
est_90_1;Aluche;Calle de Valmojado 293;A;Metro
est_4_101;EMPALME;Calle de Tembleque 105;A;Metro
est_4_102;CAMPAMENTO;Avda del Padre Piquer 7;A;Metro
est_4_103;CASA DE CAMPO;Ctra del Zoo 1;A;Metro
est_4_252;ALAMEDA DE OSUNA;Calle de la Corbeta 14;A;Metro
est_4_253;EL CAPRICHO;Calle de Pinos de Osuna 15;A;Metro
est_4_74;CANILLEJAS;Calle de Alcalá 631;A;Metro
est_4_75;TORRE ARIAS;Calle de Alcalá 557;A;Metro
est_4_76;SUANZES;Calle de Alcalá 527;A;Metro
est_4_77;CIUDAD LINEAL;Calle de Arturo Soria 2;A;Metro
est_4_78;PUEBLO NUEVO;Calle de Alcalá 372;A;Metro
est_4_79;QUINTANA;Calle de la Virgen del Sagrario 2;A;Metro
est_4_80;EL CARMEN;Calle de Raquel Méller 2;A;Metro
est_4_83;NUÑEZ DE BALBOA;Calle de Juan Bravo 20;A;Metro
est_4_84;RUBEN DARIO;Paseo de Eduardo Dato 33;A;Metro
est_4_86;CHUECA;Plaza de Chueca 7;A;Metro
est_4_90;LA LATINA;Calle de San Millán 5;A;Metro
est_4_91;PUERTA DE TOLEDO;Gta de Puerta de Toledo 1;A;Metro
est_4_93;PIRAMIDES;Paseo del Doctor Vallejo Nágera 37;A;Metro
est_4_94;MARQUES DE VADILLO;Gta del Marqués de Vadillo 4;A;Metro
est_4_95;URGEL;Calle del Camino Viejo de Leganés 1;A;Metro
est_4_96;OPORTO;Gta del Valle de Oro 13;A;Metro
est_4_97;VISTA ALEGRE;Calle de la Oca 74;A;Metro
est_4_98;CARABANCHEL;Gta del Ejército 1;A;Metro
est_4_99;EUGENIA DE MONTIJO;Calle de Ocaña 86;A;Metro
par_4_104;LAGUNA;Calle de Cuart de Poblet 1;A;Metro
par_4_105;CARPETANA;Calle   Vía Carpetana 141;A;Metro
par_4_106;OPORTO;Gta del Valle de Oro 2;A;Metro
par_4_107;OPAÑEL;Calle del Valle de Oro 50 A;A;Metro
par_4_108;PLAZA ELIPTICA;Plaza de Fernández Ladreda 2;A;Metro
par_4_109;USERA;Calle de Amparo Usera 44;A;Metro
par_4_110;LEGAZPI;Plaza de Legazpi 2 B;A;Metro
par_4_111;MENDEZ ALVARO;Calle del Ombu 16;A;Metro
par_4_112;PACIFICO;Calle de Andalucía 2;A;Metro
par_4_113;CONDE DE CASAL;Plaza del Conde de Casal 3;A;Metro
par_4_114;SAINZ DE BARANDA;Calle del Doctor Esquerdo 103;A;Metro
par_4_115;ODONNELL;Calle del Doctor Esquerdo 47;A;Metro
par_4_116;MANUEL BECERRA;Plaza de Manuel Becerra 1;A;Metro
par_4_117;DIEGO DE LEON;Calle de Francisco Silvela 47;A;Metro
par_4_118;AVENIDA DE AMERICA;Avda de América 9 A;A;Metro
par_4_119;REPUBLICA ARGENTINA;Calle de Joaquín Costa 24;A;Metro
par_4_120;NUEVOS MINISTERIOS;Calle de Raimundo Fernández Villaverde 67;A;Metro
par_4_121;CUATRO CAMINOS;Gta de Cuatro Caminos 9;A;Metro
par_4_122;GUZMAN EL BUENO;Calle de Guzmán el Bueno 118;A;Metro
par_4_123;VICENTE ALEIXANDRE;Avda de Gregorio del Amo 4;A;Metro
par_4_124;CIUDAD UNIVERSITARIA;Avda  Complutense 1;A;Metro
par_4_125;MONCLOA;Paseo de Moret 1;A;Metro
par_4_126;ARGÜELLES;Calle de Alberto Aguilera 72;A;Metro
par_4_127;PRINCIPE PIO;Paseo de la Florida 2;A;Metro
par_4_128;PUERTA DEL ANGEL;Paseo de Extremadura 26;A;Metro
par_4_129;ALTO DE EXTREMADURA;Paseo de Extremadura 154;A;Metro
par_4_130;LUCERO;Calle de las Higueras 47;A;Metro
par_4_259;ARGANZUELA-PLANETARIO;Calle del Bronce 1 A;A;Metro
est_90_13;Méndez Álvaro Estación Sur;Calle del Ombu 16;A;Metro
est_90_18;Intercambiador de Príncipe Pío;Paseo de la Florida 2;A;Metro
est_90_36;Intercambiador de Plaza Elíptica;Calle  Vía Lusitana 2;A;Metro
est_90_71;Nuevos Ministerios;Calle de Raimundo Fernández Villaverde 67;A;Metro
est_4_104;LAGUNA;Calle de Cuart de Poblet 1;A;Metro
est_4_105;CARPETANA;Calle   Vía Carpetana 141;A;Metro
est_4_107;OPAÑEL;Calle del Valle de Oro 50 A;A;Metro
est_4_109;USERA;Calle de Amparo Usera 44;A;Metro
est_4_113;CONDE DE CASAL;Plaza del Conde de Casal 3;A;Metro
est_4_114;SAINZ DE BARANDA;Calle del Doctor Esquerdo 103;A;Metro
est_4_115;ODONNELL;Calle del Doctor Esquerdo 47;A;Metro
est_4_119;REPUBLICA ARGENTINA;Calle de Joaquín Costa 24;A;Metro
est_4_122;GUZMAN EL BUENO;Calle de Guzmán el Bueno 118;A;Metro
est_4_123;VICENTE ALEIXANDRE;Avda de Gregorio del Amo 4;A;Metro
est_4_124;CIUDAD UNIVERSITARIA;Avda  Complutense 1;A;Metro
est_4_128;PUERTA DEL ANGEL;Paseo de Extremadura 26;A;Metro
est_4_129;ALTO DE EXTREMADURA;Paseo de Extremadura 154;A;Metro
est_4_130;LUCERO;Calle de las Higueras 47;A;Metro
est_4_259;ARGANZUELA-PLANETARIO;Calle del Bronce 1 A;A;Metro
par_4_132;LAS MUSAS;Avda de Niza 61;A;Metro
par_4_133;SAN BLAS;Calle de Pobladura del Valle 27;A;Metro
par_4_134;SIMANCAS;Calle del Castillo de Madrigal de las Altas Torres 15;A;Metro
par_4_135;GARCIA NOBLEJAS;Calle de Luis del Campo 1;A;Metro
par_4_136;ASCAO;Calle de Ascao 29;A;Metro
